date,open,high,low,close,volume,currency_volume
2023-03-21 17:00:00+08:00,1736.92,1760.0,1721.66,1748.0,17085740,170857.4
2023-03-21 16:00:00+08:00,1730.12,1758.0,1720.0,1736.93,15351581,153515.81
2023-03-21 15:00:00+08:00,1739.01,1763.9,1720.0,1730.11,25253564,252535.64
2023-03-21 14:00:00+08:00,1740.8,1752.32,1715.0,1739.01,13584726,135847.26
2023-03-21 13:00:00+08:00,1750.15,1752.32,1731.25,1740.79,13004958,130049.58
2023-03-21 12:00:00+08:00,1746.39,1762.6,1740.0,1750.14,8915971,89159.71
2023-03-21 11:00:00+08:00,1749.11,1762.0,1730.0,1746.39,9776242,97762.42
2023-03-21 10:00:00+08:00,1751.9,1763.33,1736.0,1749.12,11213948,112139.48
2023-03-21 09:00:00+08:00,1748.55,1778.0,1730.0,1751.84,3265041,32650.41
2023-03-21 08:00:00+08:00,1732.91,1759.99,1705.0,1748.54,6066526,60665.26
2023-03-21 07:00:00+08:00,1747.94,1753.0,1705.0,1733.0,4579574,45795.74
2023-03-21 06:00:00+08:00,1753.0,1753.0,1731.25,1748.92,1339763,13397.63
2023-03-21 05:00:00+08:00,1757.87,1800.0,1705.0,1753.0,169783558,1697835.58
2023-03-21 04:00:00+08:00,1752.56,1770.0,1743.75,1757.91,1614913,16149.13
2023-03-21 03:00:00+08:00,1763.32,1764.13,1744.78,1752.34,3648551,36485.51
2023-03-21 02:00:00+08:00,1747.58,1770.0,1744.78,1763.45,24363055,243630.55
2023-03-21 01:00:00+08:00,1753.02,1770.0,1744.78,1747.53,21653774,216537.74
2023-03-21 00:00:00+08:00,1762.68,1770.0,1748.1,1753.21,20278195,202781.95
2023-03-20 23:00:00+08:00,1773.8,1783.33,1758.99,1762.7,16602661,166026.61
2023-03-20 22:00:00+08:00,1760.11,1787.73,1752.35,1773.74,23568184,235681.84
2023-03-20 21:00:00+08:00,1782.22,1786.0,1752.35,1760.28,19893490,198934.9
2023-03-20 20:00:00+08:00,1779.14,1782.8,1753.51,1782.15,13210200,132102.0
2023-03-20 19:00:00+08:00,1774.8,1790.0,1770.0,1779.15,14625075,146250.75
2023-03-20 18:00:00+08:00,1776.52,1793.33,1755.0,1774.79,27236093,272360.93
2023-03-20 17:00:00+08:00,1788.98,1796.66,1768.0,1776.52,16816138,168161.38
2023-03-20 16:00:00+08:00,1791.49,1819.0,1769.0,1788.97,20483749,204837.49
2023-03-20 15:00:00+08:00,1758.29,1800.79,1744.78,1791.48,27018429,270184.29
2023-03-20 14:00:00+08:00,1759.2,1769.99,1710.77,1758.32,193481532,1934815.32
2023-03-20 13:00:00+08:00,1752.18,1759.68,1746.66,1759.29,11444624,114446.24
2023-03-20 12:00:00+08:00,1751.71,1760.0,1738.0,1752.19,17116517,171165.17
2023-03-20 11:00:00+08:00,1766.5,1768.39,1740.0,1751.74,21815847,218158.47
2023-03-20 10:00:00+08:00,1774.99,1784.58,1750.0,1766.5,19907854,199078.54
2023-03-20 09:00:00+08:00,1771.97,1780.24,1726.81,1775.11,19472645,194726.45
2023-03-20 08:00:00+08:00,1781.46,1790.0,1763.33,1772.1,20148166,201481.66
2023-03-20 07:00:00+08:00,1805.48,1811.08,1771.13,1781.55,16343214,163432.14
2023-03-20 06:00:00+08:00,1794.09,1810.0,1787.6,1805.45,14627086,146270.86
2023-03-20 05:00:00+08:00,1794.55,1812.84,1785.85,1793.97,13706549,137065.49
2023-03-20 04:00:00+08:00,1821.77,1840.0,1788.15,1794.51,22833177,228331.77
2023-03-20 03:00:00+08:00,1822.91,1840.0,1810.0,1822.01,22005520,220055.2
2023-03-20 02:00:00+08:00,1809.22,1832.08,1798.66,1822.89,17025903,170259.03
2023-03-20 01:00:00+08:00,1816.2,1830.0,1802.0,1809.22,21869265,218692.65
2023-03-20 00:00:00+08:00,1794.23,1840.0,1792.3,1816.2,27315008,273150.08
2023-03-19 23:00:00+08:00,1785.93,1844.89,1784.57,1794.68,26616520,266165.2
2023-03-19 22:00:00+08:00,1776.07,1791.03,1775.31,1785.93,14363476,143634.76
2023-03-19 21:00:00+08:00,1783.02,1800.0,1773.38,1776.08,12720684,127206.84
2023-03-19 20:00:00+08:00,1784.44,1800.0,1766.66,1783.01,17171171,171711.71
2023-03-19 19:00:00+08:00,1774.29,1788.01,1760.0,1784.47,20525321,205253.21
2023-03-19 18:00:00+08:00,1777.39,1783.33,1735.42,1774.22,12967016,129670.16
2023-03-19 17:00:00+08:00,1773.78,1792.0,1760.0,1777.33,11028446,110284.46
2023-03-19 16:00:00+08:00,1775.0,1780.42,1768.49,1773.75,12433381,124333.81
2023-03-19 15:00:00+08:00,1769.92,1800.0,1760.5,1774.97,13562029,135620.29
2023-03-19 14:00:00+08:00,1777.67,1780.85,1765.0,1769.91,9873230,98732.3
2023-03-19 13:00:00+08:00,1779.68,1803.33,1776.36,1777.69,8453572,84535.72
2023-03-19 12:00:00+08:00,1782.24,1817.99,1775.6,1779.68,11172636,111726.36
2023-03-19 11:00:00+08:00,1777.89,1784.74,1774.7,1782.24,7692178,76921.78
2023-03-19 10:00:00+08:00,1778.37,1783.48,1764.37,1777.89,8320668,83206.68
2023-03-19 09:00:00+08:00,1774.5,1800.0,1764.37,1778.36,13696831,136968.31
2023-03-19 08:00:00+08:00,1758.81,1800.0,1758.04,1774.51,16996374,169963.74
2023-03-19 07:00:00+08:00,1769.14,1788.95,1704.0,1758.82,35155660,351556.6
2023-03-19 06:00:00+08:00,1777.74,1818.37,1760.0,1768.78,15524337,155243.37
2023-03-19 05:00:00+08:00,1790.9,1799.99,1750.69,1778.07,8070973,80709.73
2023-03-19 04:00:00+08:00,1790.31,1801.12,1784.0,1790.91,11329639,113296.39
2023-03-19 03:00:00+08:00,1793.01,1818.37,1787.64,1790.34,13019486,130194.86
2023-03-19 02:00:00+08:00,1786.68,1818.37,1751.13,1792.77,14669245,146692.45
2023-03-19 01:00:00+08:00,1794.47,1800.0,1759.99,1786.68,30013196,300131.96
2023-03-19 00:00:00+08:00,1786.4,1814.51,1750.0,1794.43,32285676,322856.76
2023-03-18 23:00:00+08:00,1815.6,1816.6,1749.29,1786.45,32560161,325601.61
2023-03-18 22:00:00+08:00,1815.12,1853.33,1805.0,1815.6,19256055,192560.55
2023-03-18 21:00:00+08:00,1827.36,1859.99,1803.33,1815.18,19218138,192181.38
2023-03-18 20:00:00+08:00,1813.05,1882.58,1785.48,1827.35,23251360,232513.6
2023-03-18 19:00:00+08:00,1815.27,1830.0,1804.0,1813.06,11078404,110784.04
2023-03-18 18:00:00+08:00,1812.2,1820.0,1800.0,1815.27,9922600,99226.0
2023-03-18 17:00:00+08:00,1809.16,1820.0,1766.07,1812.18,12928092,129280.92
2023-03-18 16:00:00+08:00,1814.43,1816.98,1780.0,1809.29,18464179,184641.79
2023-03-18 15:00:00+08:00,1812.17,1821.0,1785.71,1814.4,11668242,116682.42
2023-03-18 14:00:00+08:00,1812.6,1860.0,1781.75,1812.23,536834879,5368348.79
2023-03-18 13:00:00+08:00,1805.45,1830.0,1801.0,1812.55,16133746,161337.46
2023-03-18 12:00:00+08:00,1810.5,1830.0,1801.0,1805.43,13902022,139020.22
2023-03-18 11:00:00+08:00,1806.2,1830.0,1801.0,1810.5,16091241,160912.41
2023-03-18 10:00:00+08:00,1814.64,1828.66,1800.0,1806.11,19967072,199670.72
2023-03-18 09:00:00+08:00,1819.65,1864.27,1783.28,1814.64,55545689,555456.89
2023-03-18 08:00:00+08:00,1790.72,1833.33,1757.14,1819.24,29692596,296925.96
2023-03-18 07:00:00+08:00,1772.46,1838.41,1764.28,1790.64,34449723,344497.23
2023-03-18 06:00:00+08:00,1757.82,1800.0,1743.33,1772.4,28010949,280109.49
2023-03-18 05:00:00+08:00,1741.13,1780.0,1732.0,1758.11,15600315,156003.15
2023-03-18 04:00:00+08:00,1743.9,1796.05,1731.97,1741.13,20327690,203276.9
2023-03-18 03:00:00+08:00,1733.01,1750.0,1721.42,1743.78,19319098,193190.98
2023-03-18 02:00:00+08:00,1725.51,1733.13,1678.48,1733.13,19223650,192236.5
2023-03-18 01:00:00+08:00,1712.31,1740.0,1707.14,1725.49,18821197,188211.97
2023-03-18 00:00:00+08:00,1717.1,1751.26,1699.99,1712.5,21939839,219398.39
2023-03-17 23:00:00+08:00,1711.33,1735.71,1625.28,1717.12,95647608,956476.08
2023-03-17 22:00:00+08:00,1735.92,1743.28,1700.0,1711.84,29731394,297313.94
2023-03-17 21:00:00+08:00,1737.35,1757.14,1726.72,1735.97,20385107,203851.07
2023-03-17 20:00:00+08:00,1761.46,1787.12,1729.41,1737.5,25699341,256993.41
2023-03-17 19:00:00+08:00,1744.49,1783.33,1704.08,1761.49,23926141,239261.41
